SMILES,PID,Polymer Class,Tg
*CC(*)c1ccc(C(=O)OCCCC)cc1,P020094,"Polystyrenes, Polyvinyls",76
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,P020095,"Polystyrenes, Polyvinyls",90
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,P020096,"Polystyrenes, Polyvinyls",66
*CC(*)c1ccc(C(=O)CC)cc1,P020098,"Polystyrenes, Polyvinyls",102
*CC(*)c1ccc(C(=O)CCC)cc1,P020099,"Polystyrenes, Polyvinyls",74
*CC(*)c1ccc(C(=O)CCCC)cc1,P020100,"Polystyrenes, Polyvinyls",70
*CC(*)c1ccc(C(=O)CCCCC)cc1,P020101,"Polystyrenes, Polyvinyls",66
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,P020102,"Polystyrenes, Polyvinyls",50
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,P020103,"Polystyrenes, Polyvinyls",78
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,P020104,"Polystyrenes, Polyvinyls",98
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,P020105,"Polystyrenes, Polyvinyls",99
*CC(*)c1ccc(F)cc1,P020108,"Polystyrenes, Polyvinyls",95
*CC(*)c1ccc(I)cc1,P020110,"Polystyrenes, Polyvinyls",158
*CC(*)c1ccc(OC)cc1,P020112,"Polystyrenes, Polyvinyls",108.4
*CC(*)c1ccc(OCC)cc1,P020113,"Polystyrenes, Polyvinyls",86
*CC(*)c1ccc(OCCC)cc1,P020114,"Polystyrenes, Polyvinyls",70
*CC(*)c1ccc(OCCCC)cc1,P020115,"Polystyrenes, Polyvinyls",52
*CC(*)c1ccc(OCCC(C)C)cc1,P020116,"Polystyrenes, Polyvinyls",57
*CC(*)c1ccc(Oc2ccccc2)cc1,P020117,"Polystyrenes, Polyvinyls",85
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,P020119,"Polystyrenes, Polyvinyls",217
*CC(*)c1ccc([Si](C)(C)C)cc1,P020120,"Polystyrenes, Polyvinyls",136
*CC(*)c1c(Cl)cccc1Cl,P020121,"Polystyrenes, Polyvinyls",165
*CC(*)c1ccc(C)cc1C,P020122,"Polystyrenes, Polyvinyls",112
*CC(*)c1ccc(Cl)cc1C,P020125,"Polystyrenes, Polyvinyls",145
*CC(*)c1ccc(Cl)cc1Cl,P020126,"Polystyrenes, Polyvinyls",135
*CC(*)c1cc(C)ccc1C,P020130,"Polystyrenes, Polyvinyls",143
*CC(*)c1cc(C(C)(C)C)ccc1C,P020131,"Polystyrenes, Polyvinyls",87
*CC(*)c1cc(Cl)ccc1Cl,P020133,"Polystyrenes, Polyvinyls",108
*CC(*)c1cc(Br)ccc1OCCCC,P020136,"Polystyrenes, Polyvinyls",47
*CC(*)c1cc(Br)ccc1OCC,P020137,"Polystyrenes, Polyvinyls",80
*CC(*)c1cc(Br)ccc1OC,P020138,"Polystyrenes, Polyvinyls",86
*CC(*)c1cc(Br)ccc1OCCC,P020139,"Polystyrenes, Polyvinyls",54
*CC(*)c1cc(Br)ccc1OC(C)C,P020140,"Polystyrenes, Polyvinyls",35
*CC(*)c1cc(Br)ccc1OCCCCC,P020141,"Polystyrenes, Polyvinyls",49
*CC(*)c1cc(Br)ccc1OCCC(C)C,P020142,"Polystyrenes, Polyvinyls",37
*CC(*)c1cc(C)cc(C)c1,P020143,"Polystyrenes, Polyvinyls",112
